time,open,high,low,close,tick_volume,spread,real_volume
2024-01-18 15:00:00,2014.89,2014.89,2007.81,2009.12,6971,5,0
2024-01-18 16:00:00,2009.14,2013.65,2009.13,2012.87,7480,5,0
2024-01-18 17:00:00,2012.87,2015.69,2011.71,2013.64,6292,0,0
2024-01-18 18:00:00,2013.64,2017.73,2013.14,2014.94,5049,5,0
2024-01-18 19:00:00,2014.95,2016.41,2013.25,2016.4,3905,5,0
2024-01-18 20:00:00,2016.42,2021.13,2015.57,2020.59,4268,5,0
2024-01-18 21:00:00,2020.46,2020.65,2018.37,2019.84,2899,1,0
2024-01-18 22:00:00,2019.85,2022.67,2019.85,2022.26,2553,5,0
2024-01-18 23:00:00,2022.3,2023.27,2021.88,2022.93,903,5,0
2024-01-19 01:00:00,2023.43,2024.74,2021.21,2023.79,2438,0,0
2024-01-19 02:00:00,2023.79,2024.31,2022.64,2023.2,2014,0,0
2024-01-19 03:00:00,2023.18,2025.59,2022.13,2024.09,3620,5,0
2024-01-19 04:00:00,2024.02,2025.12,2022.64,2024.12,2783,0,0
2024-01-19 05:00:00,2024.12,2024.29,2022.04,2022.96,1465,5,0
2024-01-19 06:00:00,2022.96,2022.96,2020.76,2021.1,1283,5,0
2024-01-19 07:00:00,2021.1,2021.93,2020.44,2021.7,1788,5,0
2024-01-19 08:00:00,2021.65,2024.25,2020.84,2023.82,2587,4,0
2024-01-19 09:00:00,2023.82,2029.68,2023.69,2028.01,3686,5,0
2024-01-19 10:00:00,2027.92,2030.13,2026.23,2029.72,3304,5,0
2024-01-19 11:00:00,2029.69,2030.86,2027.62,2029.79,2902,5,0
2024-01-19 12:00:00,2029.8,2030.95,2028.95,2030.4,2360,2,0
2024-01-19 13:00:00,2030.52,2031.98,2028.76,2031.67,2467,5,0
2024-01-19 14:00:00,2031.64,2035.16,2031.64,2032.86,3324,5,0
2024-01-19 15:00:00,2032.88,2039.2,2032.62,2035.32,6441,3,0
2024-01-19 16:00:00,2035.33,2035.74,2026.48,2029.64,6475,1,0
2024-01-19 17:00:00,2031.69,2031.69,2023.27,2027.8,8402,5,0
2024-01-19 18:00:00,2027.8,2029.58,2023.32,2024.93,5333,5,0
2024-01-19 19:00:00,2024.93,2029.06,2024.44,2029.05,4362,5,0
2024-01-19 20:00:00,2029.06,2029.43,2026.47,2027.94,3319,5,0
2024-01-19 21:00:00,2027.93,2029.45,2027.59,2029.18,2607,5,0
2024-01-19 22:00:00,2029.17,2029.54,2027.8,2028.35,2473,5,0
2024-01-19 23:00:00,2028.4,2029.98,2028.24,2029.33,901,5,0
2024-01-22 01:00:00,2029.48,2029.84,2027.02,2027.62,1688,5,0
2024-01-22 02:00:00,2027.69,2029.26,2025.49,2029.07,2220,0,0
2024-01-22 03:00:00,2029.14,2032.16,2028.74,2029.14,3398,5,0
2024-01-22 04:00:00,2029.24,2030.06,2028.41,2029.86,1943,5,0
2024-01-22 05:00:00,2029.84,2029.88,2026.03,2027.02,2077,0,0
2024-01-22 06:00:00,2027.02,2027.19,2024.69,2025.46,1666,0,0
2024-01-22 07:00:00,2025.43,2025.53,2021.89,2023.25,3380,0,0
2024-01-22 08:00:00,2023.26,2024.44,2020.06,2020.91,3964,7,0
2024-01-22 09:00:00,2020.9,2024.32,2019.14,2021.83,3960,0,0
2024-01-22 10:00:00,2021.69,2026.24,2020.42,2022.24,4105,5,0
2024-01-22 11:00:00,2021.99,2023.95,2020.56,2021.72,2945,3,0
2024-01-22 12:00:00,2021.67,2024.54,2021.09,2022.82,2645,5,0
2024-01-22 13:00:00,2022.82,2026.59,2022.27,2026.15,3119,5,0
2024-01-22 14:00:00,2026.15,2030.14,2025.21,2029.74,4249,5,0
2024-01-22 15:00:00,2029.6,2029.72,2021.27,2023.21,6752,0,0
2024-01-22 16:00:00,2023.17,2023.93,2016.89,2022.76,7184,5,0
2024-01-22 17:00:00,2022.76,2026.54,2020.76,2024.15,6334,3,0
2024-01-22 18:00:00,2024.16,2024.3,2021.54,2023.71,4344,5,0
2024-01-22 19:00:00,2023.66,2024.57,2021.4,2021.52,3387,5,0
2024-01-22 20:00:00,2021.52,2021.89,2019.87,2021.38,2966,5,0
2024-01-22 21:00:00,2021.38,2021.65,2019.15,2021.05,2191,5,0
2024-01-22 22:00:00,2021.07,2021.08,2019.24,2020.86,1860,5,0
2024-01-22 23:00:00,2020.9,2021.67,2020.27,2021.62,998,5,0
2024-01-23 01:00:00,2021.88,2022.03,2020.51,2020.72,1020,5,0
2024-01-23 02:00:00,2020.78,2023.14,2020.77,2022.81,1533,3,0
2024-01-23 03:00:00,2022.81,2022.94,2019.65,2021.73,3342,5,0
